"Concept"	"Feature"
"1220"	"camisole"	"an_undergarment"
"1221"	"camisole"	"clothing"
"1222"	"camisole"	"has_lace"
"1223"	"camisole"	"has_no_sleeves"
"1224"	"camisole"	"has_straps"
"1225"	"camisole"	"has_thin/spaghetti_straps"
"1226"	"camisole"	"is_comfortable"
"1227"	"camisole"	"is_lacy"
"1228"	"camisole"	"is_sexy"
"1229"	"camisole"	"is_soft"
"1230"	"camisole"	"is_white"
"1231"	"camisole"	"made_of_cotton"
"1232"	"camisole"	"made_of_material"
"1233"	"camisole"	"made_of_silk"
"1234"	"camisole"	"worn_by_women"
"1235"	"camisole"	"worn_on_torso"
"1236"	"camisole"	"worn_under_shirts"
"1237"	"canary"	"a_bird"
"1238"	"canary"	"a_pet"
"1239"	"canary"	"beh_-_chirps"
"1240"	"canary"	"beh_-_eats"
"1241"	"canary"	"beh_-_eats_seeds"
"1242"	"canary"	"beh_-_flies"
"1243"	"canary"	"beh_-_sings"
"1244"	"canary"	"has_2_legs"
"1245"	"canary"	"has_a_beak"
"1246"	"canary"	"has_feathers"
"1247"	"canary"	"has_legs"
"1248"	"canary"	"has_wings"
"1249"	"canary"	"is_small"
"1250"	"canary"	"is_yellow"
"1251"	"canary"	"lives_in_cages"
"1266"	"cannon"	"a_weapon"
"1267"	"cannon"	"has_a_barrel"
"1268"	"cannon"	"has_wheels"
"1269"	"cannon"	"inbeh_-_fires"
"1270"	"cannon"	"inbeh_-_fires_cannon_balls"
"1271"	"cannon"	"is_black"
"1272"	"cannon"	"is_heavy"
"1273"	"cannon"	"is_large"
"1274"	"cannon"	"is_loud"
"1275"	"cannon"	"is_powerful"
"1276"	"cannon"	"made_of_iron"
"1277"	"cannon"	"made_of_metal"
"1278"	"cannon"	"requires_gunpowder"
"1279"	"cannon"	"used_a_while_ago"
"1280"	"cannon"	"used_for_war"
"1281"	"cannon"	"used_in_circuses"
"1282"	"cannon"	"used_on_ships"
"1283"	"canoe"	"a_boat"
"1284"	"canoe"	"has_paddles/is_paddled"
"1285"	"canoe"	"inbeh_-_floats"
"1286"	"canoe"	"inbeh_-_tips"
"1287"	"canoe"	"is_long"
"1288"	"canoe"	"is_thin"
"1289"	"canoe"	"made_of_birch_bark"
"1290"	"canoe"	"made_of_fibreglass"
"1291"	"canoe"	"made_of_wood"
"1292"	"canoe"	"used_by_1_2_or_3_people"
"1293"	"canoe"	"used_by_2_people"
"1294"	"canoe"	"used_by_Indians"
"1295"	"canoe"	"used_by_portaging"
"1296"	"canoe"	"used_for_camping"
"1297"	"canoe"	"used_for_transportation"
"1298"	"canoe"	"used_on_lakes"
"1299"	"canoe"	"used_on_rivers"
"1300"	"canoe"	"used_on_water"
"1377"	"caribou"	"a_herbivore"
"1378"	"caribou"	"a_mammal"
"1379"	"caribou"	"an_animal"
"1380"	"caribou"	"beh_-_migrates"
"1381"	"caribou"	"beh_-_travels_in_herds"
"1382"	"caribou"	"has_4_legs"
"1383"	"caribou"	"has_antlers"
